ENTRY,NAME,REPS
101,A,8
102,B,8
103,C,8
104,D,8
105,ND-105,1
106,ND-106,1
107,ND-107,1
108,ND-108,1
109,ND-109,1
110,ND-110,1
111,ND-111,1
112,ND-112,1
113,ND-113,1
114,ND-114,1
115,ND-115,1
116,ND-116,1
117,ND-117,1
118,ND-118,1
119,ND-119,1
120,ND-120,1
121,ND-121,1
122,ND-122,1
123,ND-123,1
124,ND-124,1
125,ND-125,1
126,ND-126,1
127,ND-127,1
128,ND-128,1
129,ND-129,1
130,ND-130,1
131,ND-131,1
132,ND-132,1
133,ND-133,1
134,ND-134,1
135,ND-135,1
136,ND-136,1
137,ND-137,1
138,ND-138,1
139,ND-139,1
140,ND-140,1
141,ND-141,1
142,ND-142,1
143,ND-143,1
144,ND-144,1
145,ND-145,1
146,ND-146,1
147,ND-147,1
148,ND-148,1
149,ND-149,1
150,ND-150,1
151,ND-151,1
152,ND-152,1
153,ND-153,1
154,ND-154,1
155,ND-155,1
156,ND-156,1
157,ND-157,1
158,ND-158,1
159,ND-159,1
160,ND-160,1
161,ND-161,1
162,ND-162,1
163,ND-163,1
164,ND-164,1
165,ND-165,1
166,ND-166,1
167,ND-167,1
168,ND-168,1
169,ND-169,1
170,ND-170,1
171,ND-171,1
172,ND-172,1
173,ND-173,1
174,ND-174,1
175,ND-175,1
176,ND-176,1
177,ND-177,1
178,ND-178,1
179,ND-179,1
180,ND-180,1
181,ND-181,1
182,ND-182,1
183,ND-183,1
184,ND-184,1
185,ND-185,1
186,ND-186,1
187,ND-187,1
188,ND-188,1
189,ND-189,1
190,ND-190,1
191,ND-191,1
192,ND-192,1
193,ND-193,1
194,ND-194,1
195,ND-195,1
196,ND-196,1
197,ND-197,1
198,ND-198,1
199,ND-199,1
200,ND-200,1
201,ND-201,1
202,ND-202,1
203,ND-203,1
204,ND-204,1
205,ND-205,1
206,ND-206,1
207,ND-207,1
208,ND-208,1
209,ND-209,1
210,ND-210,1
211,ND-211,1
212,ND-212,1
213,ND-213,1
214,ND-214,1
215,ND-215,1
216,ND-216,1
217,ND-217,1
218,ND-218,1
219,ND-219,1
220,ND-220,1
221,ND-221,1
222,ND-222,1
223,ND-223,1
224,ND-224,1
225,ND-225,1
226,ND-226,1
227,ND-227,1
228,ND-228,1
229,ND-229,1
230,ND-230,1
231,ND-231,1
232,ND-232,1
233,ND-233,1
234,ND-234,1
235,ND-235,1
236,ND-236,1
237,ND-237,1
238,ND-238,1
239,ND-239,1
240,ND-240,1
241,ND-241,1
242,ND-242,1
243,ND-243,1
244,ND-244,1
245,ND-245,1
246,ND-246,1
247,ND-247,1
248,ND-248,1
249,ND-249,1
250,ND-250,1
251,ND-251,1
252,ND-252,1
253,ND-253,1
254,ND-254,1
255,ND-255,1
256,ND-256,1
257,ND-257,1
258,ND-258,1
259,ND-259,1
260,ND-260,1
261,ND-261,1
262,ND-262,1
263,ND-263,1
264,ND-264,1
265,ND-265,1
266,ND-266,1
267,ND-267,1
268,ND-268,1
269,ND-269,1
270,ND-270,1
271,ND-271,1
272,ND-272,1
273,ND-273,1
274,ND-274,1
275,ND-275,1
276,ND-276,1
277,ND-277,1
278,ND-278,1
279,ND-279,1
280,ND-280,1
281,ND-281,1
282,ND-282,1
283,ND-283,1
284,ND-284,1
285,ND-285,1
286,ND-286,1
287,ND-287,1
288,ND-288,1
289,ND-289,1
290,ND-290,1
291,ND-291,1
292,ND-292,1
293,ND-293,1
294,ND-294,1
295,ND-295,1
296,ND-296,1
297,ND-297,1
298,ND-298,1
299,ND-299,1
300,ND-300,1
301,ND-301,1
302,ND-302,1
303,ND-303,1
304,ND-304,1
305,ND-305,1
306,ND-306,1
307,ND-307,1
308,ND-308,1
309,ND-309,1
310,ND-310,1
311,ND-311,1
312,ND-312,1
